Age,Education_Level,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Feedback_Score,Dropout_Likelihood,Gender_Female,Gender_Male,Course_Name_Machine Learning,Course_Name_Python Basics,Course_Name_Data Science,Course_Name_Web Development,Learning_Style_Visual,Learning_Style_Reading/Writing,Learning_Style_Kinesthetic
30,1,147,1,52,23,84,1,53,2,0,0,1,1,0,0,0,0,0,0
47,0,152,3,77,6,81,1,78,2,0,0,1,0,0,0,1,1,0,0
28,0,184,4,72,13,95,0,83,5,0,1,0,0,0,0,1,0,0,1
44,0,63,3,57,46,92,0,42,2,0,0,1,1,0,0,0,1,0,0
22,1,345,4,82,19,68,2,45,4,0,0,0,0,0,1,0,1,0,0
20,1,447,3,69,32,52,1,47,5,0,1,0,1,0,0,0,0,0,0
33,1,357,4,49,27,57,1,87,1,0,0,1,1,0,0,0,0,0,0
49,1,29,3,78,20,67,0,60,5,0,0,1,0,1,0,0,1,0,0
20,1,110,1,38,38,50,1,91,4,0,0,0,0,0,0,1,0,1,0
45,2,303,4,58,32,64,2,89,1,0,0,1,1,0,0,0,0,1,0
15,1,214,2,36,7,48,0,46,2,1,1,0,0,1,0,0,0,0,0
21,2,335,2,87,48,99,0,96,5,0,1,0,0,0,1,0,0,0,1
45,0,412,2,41,35,76,1,62,1,0,1,0,0,1,0,0,1,0,0
48,1,70,2,84,17,42,1,54,5,0,0,1,0,0,0,1,0,0,1
39,2,491,1,54,30,95,2,90,2,0,1,0,0,0,0,0,1,0,0
25,2,470,3,94,25,53,1,66,4,1,0,1,0,0,0,0,1,0,0
15,1,347,3,45,47,58,2,84,5,0,1,0,0,0,0,0,1,0,0
36,1,417,2,41,31,81,0,98,2,0,0,1,0,1,0,0,0,0,0
20,0,317,4,75,30,89,2,30,4,0,0,1,0,0,0,1,1,0,0
16,0,28,1,38,29,67,1,33,3,0,0,1,0,0,1,0,0,0,1
28,1,408,4,37,29,71,1,42,2,1,1,0,0,0,0,0,0,0,1
29,2,433,1,94,17,83,2,65,1,0,0,1,0,0,1,0,0,0,1
39,0,489,2,41,44,98,1,88,3,0,0,1,0,1,0,0,0,0,0
26,2,463,1,39,20,93,1,82,5,0,0,1,0,0,0,1,1,0,0
41,2,422,2,92,31,87,1,57,4,1,0,1,0,1,0,0,0,0,0
46,1,417,4,97,1,99,1,47,2,0,0,1,0,0,1,0,1,0,0
23,2,279,3,88,27,70,1,90,2,0,0,1,0,0,1,0,1,0,0
40,1,52,3,40,39,88,1,99,3,0,1,0,1,0,0,0,1,0,0
17,2,15,1,33,45,97,1,62,3,1,1,0,0,0,0,0,1,0,0
37,1,212,3,43,47,92,0,66,5,0,0,1,0,0,0,0,0,0,1
46,1,484,3,86,48,86,2,73,4,0,0,1,0,1,0,0,0,0,0
43,0,436,1,30,32,88,0,38,1,0,0,1,0,0,0,1,1,0,0
15,2,455,3,99,41,86,1,62,3,0,0,1,0,0,0,1,0,1,0
31,2,133,3,92,3,78,2,78,5,0,0,1,1,0,0,0,1,0,0
17,2,305,1,50,3,75,2,64,4,0,0,1,0,1,0,0,0,0,1
24,2,124,2,69,11,80,1,45,3,0,1,0,1,0,0,0,0,0,1
38,0,193,1,31,34,88,1,95,1,0,1,0,0,0,0,1,1,0,0
25,1,373,3,94,42,42,2,89,5,1,1,0,0,0,1,0,1,0,0
30,1,299,3,81,5,60,0,80,2,0,1,0,1,0,0,0,0,0,1
16,0,322,2,47,46,90,1,53,1,0,0,0,0,0,0,1,0,1,0
26,1,153,4,86,26,48,1,67,1,0,1,0,0,0,1,0,1,0,0
22,2,486,4,61,38,59,2,40,5,0,1,0,0,1,0,0,1,0,0
21,0,346,2,91,16,90,1,49,5,0,1,0,0,0,1,0,0,0,0
24,0,336,1,60,31,95,0,65,2,0,1,0,1,0,0,0,0,1,0
22,1,339,4,58,15,40,1,64,1,1,0,1,0,0,1,0,0,0,0
29,1,146,2,45,9,88,1,50,4,0,0,1,1,0,0,0,0,0,1
28,1,70,3,97,44,65,0,50,5,1,1,0,1,0,0,0,0,0,0
30,2,264,3,79,17,97,1,64,5,0,0,1,0,1,0,0,1,0,0
29,1,362,3,94,31,43,2,36,5,1,1,0,0,1,0,0,1,0,0
20,1,118,3,54,42,85,0,37,2,0,1,0,0,0,0,0,0,0,1
40,1,365,2,84,29,82,2,83,3,0,1,0,0,0,0,1,0,0,0
20,1,429,4,58,43,41,1,90,5,0,0,1,1,0,0,0,1,0,0
27,2,115,1,79,23,61,1,98,5,0,0,1,0,0,0,0,0,0,1
30,0,149,1,67,8,85,1,82,4,0,1,0,0,0,1,0,0,0,1
40,0,111,2,84,3,92,2,80,3,0,0,1,0,0,0,0,1,0,0
23,0,212,2,50,37,50,2,71,3,0,1,0,0,0,0,0,1,0,0
38,0,373,1,74,2,55,1,63,2,0,1,0,0,0,0,0,1,0,0
33,2,291,3,32,34,71,1,97,4,0,1,0,0,0,0,1,1,0,0
32,0,92,2,44,24,80,2,89,1,0,1,0,0,1,0,0,0,0,1
24,0,201,2,62,48,41,2,72,3,0,1,0,0,0,0,1,0,0,0
38,1,346,3,30,11,79,2,47,2,0,0,1,0,0,0,0,0,0,0
29,1,261,3,90,38,59,2,36,3,0,0,1,1,0,0,0,0,0,0
23,1,379,2,38,1,97,1,37,3,0,1,0,0,1,0,0,0,0,0
21,1,264,2,73,7,78,1,54,1,1,1,0,1,0,0,0,1,0,0
31,0,427,4,49,14,69,2,56,5,1,1,0,0,0,0,0,0,1,0
39,1,372,2,49,46,94,1,61,5,0,0,1,0,0,0,1,0,0,0
18,1,261,1,39,12,86,2,87,2,1,0,1,1,0,0,0,0,1,0
22,1,62,3,59,17,92,2,87,4,0,1,0,0,0,0,1,1,0,0
16,0,263,4,58,24,78,2,78,2,0,0,1,0,0,1,0,1,0,0
41,0,336,4,47,36,98,2,44,3,0,1,0,1,0,0,0,1,0,0
18,1,45,3,49,36,55,2,79,4,0,0,1,1,0,0,0,0,1,0
46,1,438,3,88,22,60,1,30,2,0,0,1,0,1,0,0,0,1,0
24,2,39,3,32,18,56,1,40,4,0,0,1,1,0,0,0,0,0,0
26,1,336,1,82,19,81,2,50,3,0,1,0,0,1,0,0,0,0,1
23,2,451,4,68,0,79,0,76,1,0,1,0,0,1,0,0,1,0,0
26,0,217,1,62,29,54,1,62,5,0,0,1,0,0,0,1,1,0,0
42,0,84,1,79,30,51,1,45,3,0,1,0,0,1,0,0,0,0,0
19,1,314,2,95,1,60,0,46,4,1,0,1,0,0,1,0,0,0,0
46,0,68,2,44,4,50,1,59,2,1,0,1,0,0,0,1,0,0,0
17,2,131,2,58,1,63,2,45,5,0,0,1,0,0,1,0,0,0,1
23,1,114,2,91,2,85,1,62,5,0,1,0,0,0,0,0,1,0,0
43,1,241,3,71,20,72,1,76,3,0,1,0,1,0,0,0,0,0,1
24,1,389,4,67,45,97,0,53,2,0,1,0,0,0,1,0,1,0,0
21,1,454,2,85,16,40,1,94,1,0,0,1,1,0,0,0,0,0,1
37,1,177,4,63,35,57,1,96,1,1,0,1,0,0,0,0,0,0,1
21,2,131,1,68,28,46,1,95,4,0,0,1,0,1,0,0,0,1,0
29,1,147,1,44,14,88,2,73,5,0,1,0,0,0,0,1,0,0,1
22,1,425,2,68,4,41,2,91,2,0,1,0,0,0,0,0,0,1,0
20,1,270,4,68,27,53,0,60,2,0,1,0,0,0,0,1,1,0,0
17,2,143,2,41,10,87,1,47,5,0,0,1,0,0,0,0,0,1,0
44,1,469,3,69,26,98,1,47,1,0,0,1,0,0,1,0,0,0,0
21,0,50,3,75,23,87,1,84,2,1,1,0,0,0,1,0,0,0,1
21,1,35,2,81,31,66,2,56,1,0,1,0,0,1,0,0,0,0,1
16,1,91,3,37,37,99,2,56,1,0,0,1,0,1,0,0,1,0,0
17,1,179,2,95,31,95,1,68,2,0,0,1,0,0,1,0,0,0,1
20,0,136,2,37,37,96,1,77,3,0,0,0,0,0,0,0,0,0,1
23,1,21,4,44,3,87,1,33,5,0,1,0,0,0,0,1,0,1,0
15,0,365,3,31,7,75,1,60,3,0,1,0,0,0,0,0,0,0,0
26,1,291,4,60,40,83,1,30,4,0,1,0,0,1,0,0,0,0,1
20,2,226,2,39,7,70,1,67,5,0,0,1,1,0,0,0,1,0,0
36,1,67,4,79,10,88,2,59,4,0,0,0,0,1,0,0,0,0,0
25,1,388,1,66,43,52,0,57,4,0,1,0,1,0,0,0,0,0,1
22,0,400,1,84,28,43,2,67,4,1,1,0,1,0,0,0,0,1,0
42,1,25,1,60,9,65,1,97,4,0,0,1,0,0,1,0,1,0,0
24,2,491,4,47,37,61,1,43,4,1,0,0,0,0,0,1,0,1,0
17,1,473,4,70,19,68,2,32,2,0,0,0,1,0,0,0,1,0,0
28,1,82,4,58,22,47,1,98,3,0,1,0,0,0,1,0,1,0,0
41,0,205,1,85,25,72,2,35,5,0,1,0,0,0,0,1,1,0,0
48,0,220,2,62,0,90,2,73,1,0,1,0,0,0,0,0,0,1,0
49,1,138,2,89,34,64,1,75,5,0,0,1,0,1,0,0,0,0,1
32,0,205,4,49,6,40,1,59,3,0,1,0,0,0,0,1,1,0,0
27,0,198,4,88,38,90,0,40,1,0,1,0,0,0,1,0,0,1,0
18,1,322,3,66,38,45,1,84,2,0,0,1,0,0,1,0,1,0,0
25,1,143,3,99,1,88,1,44,2,0,0,1,1,0,0,0,0,0,1
29,1,139,1,40,33,84,1,35,3,0,0,1,0,0,0,1,0,0,1
36,1,443,3,97,25,79,1,63,3,0,1,0,0,0,0,1,0,0,1
34,2,231,1,82,36,77,1,32,3,0,1,0,0,0,0,1,1,0,0
41,1,236,4,69,36,81,1,58,4,0,0,1,0,0,0,1,0,0,0
30,0,462,4,62,22,80,0,90,5,1,1,0,0,0,0,1,1,0,0
25,0,366,4,53,23,93,2,36,4,0,0,0,0,1,0,0,0,0,1
15,1,277,1,87,31,51,1,74,4,1,1,0,0,1,0,0,0,1,0
37,0,499,1,95,48,48,0,65,5,0,0,1,0,0,1,0,0,1,0
47,2,264,4,58,2,80,0,49,5,0,0,1,0,0,0,0,0,0,1
47,2,425,2,48,1,53,1,60,3,0,1,0,0,0,1,0,1,0,0
45,1,394,4,44,22,98,2,95,3,0,1,0,0,1,0,0,0,0,0
16,1,439,2,80,2,51,1,53,2,1,0,1,0,0,0,1,0,1,0
40,0,73,4,40,40,55,1,37,4,0,1,0,0,0,1,0,0,1,0
46,2,294,3,51,3,51,2,42,3,0,0,1,0,0,0,0,0,0,0
49,2,286,4,80,45,65,2,64,5,0,1,0,1,0,0,0,1,0,0
40,1,186,1,35,25,91,0,53,4,1,0,1,0,0,1,0,0,0,0
28,1,83,4,89,31,93,1,83,4,0,0,1,0,0,0,0,0,0,0
20,1,191,1,70,1,96,2,35,4,0,1,0,0,0,1,0,0,0,1
36,0,306,4,83,6,85,1,46,5,0,0,1,0,0,0,1,0,1,0
27,1,448,2,40,43,40,2,88,1,1,0,1,0,0,0,0,1,0,0
17,0,135,1,72,38,98,1,51,2,1,1,0,1,0,0,0,0,0,1
40,0,454,2,94,27,85,2,84,2,0,1,0,0,0,1,0,0,1,0
20,2,93,2,36,23,94,0,92,3,0,1,0,0,0,1,0,0,0,0
41,1,445,1,78,28,56,2,98,4,0,1,0,0,0,0,0,0,1,0
15,1,353,1,87,31,78,1,30,5,0,0,1,0,1,0,0,0,0,0
44,2,445,3,44,46,68,0,77,3,1,1,0,0,0,0,1,0,0,0
34,1,164,2,74,28,57,2,60,2,0,0,1,0,0,0,1,0,1,0
36,1,208,3,39,49,65,2,34,5,0,0,1,0,0,1,0,0,0,0
20,2,226,4,96,48,61,1,83,4,0,0,1,0,0,0,1,0,0,1
42,1,344,2,94,1,41,0,33,1,0,1,0,0,0,1,0,0,0,1
22,1,277,4,50,19,87,0,85,4,0,1,0,0,0,0,1,0,0,1
40,1,493,3,43,2,40,0,57,2,0,0,1,0,0,0,1,0,0,0
15,1,348,1,96,20,76,2,46,5,1,0,1,1,0,0,0,1,0,0
21,1,89,2,86,19,92,2,87,1,1,1,0,0,1,0,0,0,1,0
48,1,285,1,85,31,94,2,67,5,1,1,0,0,1,0,0,0,1,0
44,1,314,3,50,21,65,1,45,1,0,1,0,0,0,1,0,0,1,0
22,0,120,2,31,16,48,1,79,4,0,0,1,0,0,0,1,0,0,0
27,1,254,3,53,48,42,1,91,2,0,0,0,1,0,0,0,0,0,0
47,0,230,2,33,46,91,1,64,2,0,0,1,0,0,0,0,0,0,1
31,1,119,4,57,29,81,1,51,3,0,1,0,0,0,1,0,0,1,0
21,2,339,4,35,21,60,2,71,5,0,1,0,1,0,0,0,1,0,0
